0,0,0.000000
1,1,0.577350
2,2,0.577350
3,3,0.577350
4,4,0.577350
5,5,0.246694
6,6,0.246694
7,7,0.246694
8,8,0.246694
9,9,0.119768
10,10,0.577350
11,11,0.577350
12,12,0.577350
13,13,0.577350
14,14,0.577350
15,15,0.577350
16,16,0.577350
17,17,0.577350
18,18,0.577350
19,19,0.577350
20,20,0.577350
21,21,0.577350
22,22,0.215346
23,23,0.215695
24,24,0.215346
25,25,0.215695
26,26,0.577350
27,27,0.577350
28,28,0.577350
29,29,0.577350
30,30,0.485492
31,31,0.485492
32,32,0.485492
33,33,0.485492
34,34,0.485492
35,35,0.485492
36,36,0.485492
37,37,0.485492
38,38,0.220896
39,39,0.221292
40,40,0.577350
41,41,0.577350
42,42,0.577350
43,43,0.577350
44,44,0.408248
45,45,0.408248
46,46,0.408248
47,47,0.408248
48,48,0.485492
49,49,0.485492
50,50,0.485492
51,51,0.485492
52,52,0.577350
